NAME	TITLE	SCORE	
FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15626]	3.3107164	
FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	3.1327012	
GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	3.0904458	
FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	3.0331697	
HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	2.9345512	
PXDN	peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]	2.849506	
COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	2.763515	
KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	2.7180498	
TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	2.6867507	
FCRLB	Fc receptor like B [Source:HGNC Symbol;Acc:HGNC:26431]	2.5340405	
GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	2.5292919	
TTN-AS1	TTN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44124]	2.4578362	
CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	2.3623838	
FCER1A	Fc fragment of IgE receptor Ia [Source:HGNC Symbol;Acc:HGNC:3609]	2.321696	
NEURL1B	neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]	2.296465	
STAM-DT	STAM divergent transcript [Source:HGNC Symbol;Acc:HGNC:49568]	2.2706976	
ANPEP	"alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]"	2.262029	
ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	2.256825	
NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	2.1650207	
IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2.1430128	
PDE2A	phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]	2.1415136	
YPEL1	yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]	2.1255684	
P2RY10	P2Y receptor family member 10 [Source:HGNC Symbol;Acc:HGNC:19906]	2.1251867	
PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	2.1176324	
IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	2.1120036	
PCBP4	poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:HGNC:8652]	2.0839534	
CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	2.0520444	
SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	2.007458	
LINC01147	long intergenic non-protein coding RNA 1147 [Source:HGNC Symbol;Acc:HGNC:49468]	1.983369	
TDRD9	tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122]	1.970251	
PRAL	p53 regulation associated lncRNA [Source:HGNC Symbol;Acc:HGNC:52646]	1.9110934	
RHBDF1	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	1.9007918	
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	1.8781486	
AATK	apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]	1.860888	
RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	1.8586212	
ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	1.8393587	
TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	1.8281431	
LINC02381	long intergenic non-protein coding RNA 2381 [Source:HGNC Symbol;Acc:HGNC:53304]	1.8253387	
FBXL16	F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]	1.820337	
SUGT1-DT	SUGT1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54809]	1.8081766	
NYNRIN	NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]	1.8025486	
CNTNAP2	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	1.7947904	
TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	1.7697555	
MVB12B	multivesicular body subunit 12B [Source:HGNC Symbol;Acc:HGNC:23368]	1.7655145	
SCN4B	sodium voltage-gated channel beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:10592]	1.7626548	
CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	1.7601132	
TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	1.7596955	
ZNF385C	zinc finger protein 385C [Source:HGNC Symbol;Acc:HGNC:33722]	1.7478652	
PRNCR1	prostate cancer associated non-coding RNA 1 [Source:HGNC Symbol;Acc:HGNC:48942]	1.7448803	
SLC34A3	solute carrier family 34 member 3 [Source:HGNC Symbol;Acc:HGNC:20305]	1.7392626	
SLC5A3	solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]	1.7376119	
SOX13	SRY-box transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:11192]	1.736891	
DOCK9	dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]	1.7352436	
PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	1.7341535	
DYNLT2	dynein light chain Tctex-type 2 [Source:HGNC Symbol;Acc:HGNC:11695]	1.7280736	
SNTB2	syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]	1.7204148	
SLC28A3	solute carrier family 28 member 3 [Source:HGNC Symbol;Acc:HGNC:16484]	1.7156283	
GPR143	G protein-coupled receptor 143 [Source:HGNC Symbol;Acc:HGNC:20145]	1.7020488	
EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	1.687824	
KCNK12	potassium two pore domain channel subfamily K member 12 [Source:HGNC Symbol;Acc:HGNC:6274]	1.6856769	
LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	1.6754551	
ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	1.664603	
H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	1.6552044	
IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	1.6202773	
SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	1.598779	
CHIT1	chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936]	1.5979952	
S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	1.5959898	
PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1.5864402	
NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	1.5812747	
TNS1	tensin 1 [Source:HGNC Symbol;Acc:HGNC:11973]	1.5789204	
MUSTN1	"musculoskeletal, embryonic nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:22144]"	1.5787445	
FAM177B	family with sequence similarity 177 member B [Source:HGNC Symbol;Acc:HGNC:34395]	1.5744734	
TMC5	transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]	1.5730715	
WNK3	WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]	1.5683078	
ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	1.5651003	
CLEC10A	C-type lectin domain containing 10A [Source:HGNC Symbol;Acc:HGNC:16916]	1.5649948	
ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	1.5524138	
PLEKHA7	pleckstrin homology domain containing A7 [Source:HGNC Symbol;Acc:HGNC:27049]	1.5427456	
ADGRG6	adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841]	1.5419673	
JAML	junction adhesion molecule like [Source:HGNC Symbol;Acc:HGNC:19084]	1.5415883	
DOCK6	dedicator of cytokinesis 6 [Source:HGNC Symbol;Acc:HGNC:19189]	1.5408854	
